osmid,highway,name,oneway,reversed,length,geometry,ref,bridge,lanes,maxspeed,access,junction,tunnel,crime_score
359289474,residential,Elijah's Way,False,True,53.3647696200143,"LINESTRING (-74.4392505 40.488748, -74.4393442 40.4887128, -74.4397299 40.4885679, -74.4397582 40.4885573, -74.4398163 40.4885355)",,,,,,,,0.0
674459867,residential,Sample Road,False,True,24.51447137078134,"LINESTRING (-74.4773802 40.4830973, -74.4771085 40.4831741)",,,,,,,,0.0
432303507,secondary,French Street,False,True,325.7546657565028,"LINESTRING (-74.4469212 40.4959304, -74.4466278 40.4960652, -74.4462962 40.496242, -74.4461663 40.4963113)",NJ 27;CR 644,,,40 mph,,,,6.5
1020488491,secondary,French Street,False,False,520.1446981550974,"LINESTRING (-74.4469212 40.4959304, -74.4471517 40.4958358, -74.4473829 40.4957317, -74.4477796 40.4955741, -74.4480414 40.49545, -74.4481777 40.4953853)",NJ 27;CR 644,,,40 mph,,,,6.5
375617849,residential,Paterson Street,True,False,171.40151773872452,"LINESTRING (-74.447503 40.4946538, -74.4474324 40.4946578, -74.4473314 40.4946725, -74.4468433 40.4947436, -74.4467056 40.4947636)",,,,,,,,3.0
1213095700,residential,Paterson Street,False,True,103.10187032394626,"LINESTRING (-74.447503 40.4946538, -74.4479021 40.4945933, -74.4479813 40.4945813)",,,,,,,,3.0
473066869,secondary,,True,False,18.829432075518632,"LINESTRING (-74.4326342 40.4840211, -74.4326016 40.48404, -74.4325787 40.4840659, -74.4325682 40.4840937, -74.432569 40.4841226, -74.4325785 40.4841461, -74.4325956 40.4841669)",NJ 172;CR 527,,1,20 mph,,roundabout,,0.0
"[11664552, 1425648632, 1425648630, 1425648631]",secondary,Ryders Lane,False,False,325.0689714054879,"LINESTRING (-74.4326342 40.4840211, -74.4326162 40.483996, -74.4326014 40.483966, -74.4325884 40.4839385, -74.4325708 40.4838947, -74.4325503 40.4838417, -74.4325352 40.4837886, -74.4325115 40.4836305, -74.432503 40.4835719, -74.4324387 40.483126, -74.4324278 40.4830899, -74.4324109 40.4830563, -74.432391 40.4830319, -74.4323632 40.4830087, -74.4323275 40.482991, -74.4322876 40.4829799, -74.4322243 40.4829717, -74.4321461 40.4829752, -74.4320678 40.4829818, -74.4318461 40.483002, -74.4314556 40.4830372, -74.4312464 40.483056, -74.4310316 40.4830785, -74.4309387 40.4830817, -74.4308653 40.4830724, -74.4307989 40.4830448, -74.4307429 40.482994, -74.4306318 40.4828631, -74.4304148 40.4825771, -74.4303398 40.4824783)",CR 617,,2,,,,,0.0
441684391,residential,Gibbons Court,True,False,19.69980251466528,"LINESTRING (-74.4321705 40.4850987, -74.4320715 40.4851074, -74.432021 40.4851195, -74.4319837 40.4851345, -74.4319528 40.4851515)",,,,,,,,0.0
473066871,secondary_link,,True,False,21.330716829459,"LINESTRING (-74.4321705 40.4850987, -74.4321465 40.4851428, -74.4321517 40.4851808, -74.4321557 40.4852101, -74.4321782 40.4852846)",,,,,,jughandle,,0.0
11673869,residential,Gibbons Court,False,True,4.889303073953316,"LINESTRING (-74.4335976 40.4852846, -74.4335659 40.4852781, -74.4335418 40.4852731)",,,,,,,,0.0
"[23578955, 11661085]",residential,"['Labor Center Way', 'Phelps Avenue']",False,"[False, True]",751.6639503089607,"LINESTRING (-74.4281162 40.4808601, -74.4279145 40.480867, -74.4277498 40.4808531, -74.4272979 40.4807867, -74.426641 40.480702, -74.4264368 40.48067, -74.426233 40.4806468, -74.4261358 40.4806338, -74.4259794 40.481334, -74.4259663 40.4814755, -74.4259825 40.4815976, -74.4260066 40.4817442, -74.4259728 40.4819225, -74.4259559 40.4820357, -74.4258264 40.4826375, -74.4258102 40.482708, -74.4257265 40.4830836, -74.4257118 40.483224, -74.4257213 40.4833832, -74.4257387 40.4836721, -74.4257357 40.4840497, -74.4256233 40.4844779, -74.4254164 40.4852661, -74.4254175 40.4852779, -74.4254194 40.4852993, -74.4254344 40.4853254, -74.4254623 40.4853437, -74.4254969 40.4853525, -74.4258261 40.4853806, -74.4259405 40.4853972, -74.4260549 40.4854137)",,,,,,,,0.0
23578955,residential,Labor Center Way,False,True,41.4566921834621,"LINESTRING (-74.4281162 40.4808601, -74.4281566 40.4808503, -74.4283509 40.4808032, -74.4284593 40.4807778, -74.4285838 40.4807483)",,,,,,,,0.0
1060525543,trunk,,True,False,35.17104617084106,"LINESTRING (-74.423455 40.478188, -74.4237375 40.4779559)",US 1,,3,50 mph,,,,0.0
"[412163904, 412163905]",trunk_link,,True,False,66.94588910657993,"LINESTRING (-74.423455 40.478188, -74.4236379 40.4782185, -74.4236842 40.4782283, -74.4237282 40.4782389, -74.4238173 40.4782626, -74.4237848 40.4782039, -74.4237636 40.4781612, -74.4237494 40.4781148, -74.4237444 40.4780733, -74.4237375 40.4779559)",,,1,,,,,0.0
"[37966627, 11657404, 56082245]",tertiary,Paul Robeson Boulevard,False,True,620.4304963505892,"LINESTRING (-74.4386977 40.4884119, -74.4378864 40.4891956, -74.4378264 40.4892515, -74.4377825 40.4892915, -74.4377325 40.4893358, -74.437686 40.4893723, -74.4376219 40.4894205, -74.4375487 40.4894709, -74.4374718 40.4895214, -74.437402 40.4895633, -74.4373171 40.4896091, -74.4371476 40.4897009, -74.4371134 40.4897194, -74.4370377 40.4897611)",,yes,2,,,,,4.0
1167453901,tertiary,Paul Robeson Boulevard,False,False,85.68244024315484,"LINESTRING (-74.4386977 40.4884119, -74.4387446 40.4883648, -74.4389017 40.4882072)",,,3,,,,,4.0
1286669080,residential,Neilson Street,False,False,22.40299625087263,"LINESTRING (-74.4417272 40.4939876, -74.4416869 40.4939137, -74.4416164 40.4938047)",,,,,,,,0.0
1286669080,residential,Neilson Street,False,True,79.25085522503853,"LINESTRING (-74.4417272 40.4939876, -74.4417499 40.4940732, -74.4418442 40.4944265, -74.4418606 40.4945055, -74.4418627 40.4946266, -74.4418634 40.4946904)",,,,,,,,0.0
11648485,tertiary,,True,False,41.97183518318837,"LINESTRING (-74.4515126 40.5053361, -74.4517482 40.5055309, -74.451832 40.505624)",(672),,1,,,,,0.0
473072987,tertiary,George Street,False,True,1234.9963880733708,"LINESTRING (-74.4515126 40.5053361, -74.4511364 40.5051094, -74.4510939 40.5050834, -74.4510298 40.505044, -74.4509464 40.5049925, -74.4508359 40.504927, -74.4507298 40.504871, -74.4505409 40.5047721, -74.4504305 40.5047143, -74.4503198 40.504656, -74.4502081 40.5045918, -74.450097 40.5045279, -74.4499913 40.5044697, -74.4496967 40.5043148, -74.4495887 40.5042573, -74.449501 40.5042106, -74.4488723 40.503883, -74.4484959 40.5036859, -74.4483472 40.5036124)",CR 672,,2,25 mph,,,,5.5
